#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,681248329,85957.0,6810150.0,593.0,654121268,+116169,20316911,40363,87398.0,873.7,,,,All,09-03-2023
1.0,USA,105547760,8964.0,1148391.0,129.0,103083830,+29831,1315539,2389,315251.0,3430.0,1168472344.0,3490006.0,334805269.0,North America,09-03-2023
2.0,India,44689512,440.0,530779.0,3.0,44155439,+320,3294,-,31771.0,377.0,919414382.0,653628.0,1406631776.0,Asia,09-03-2023
3.0,France,39639112,,165073.0,,39413395,+4021,60644,869,604397.0,2517.0,271490188.0,4139547.0,65584518.0,Europe,09-03-2023
4.0,Germany,38249060,7829.0,168935.0,127.0,37823200,+16700,256925,-,455978.0,2014.0,122332384.0,1458359.0,83883596.0,Europe,09-03-2023
5.0,Brazil,37085520,,699310.0,,36249161,,137049,-,172208.0,3247.0,63776166.0,296146.0,215353593.0,South America,09-03-2023
6.0,Japan,33298296,9834.0,72989.0,80.0,21697743,+1491,11527564,124,265146.0,581.0,95996267.0,764394.0,125584838.0,Asia,09-03-2023
7.0,S. Korea,30605187,10890.0,34081.0,20.0,30395510,+10262,175596,143,596245.0,664.0,15804065.0,307892.0,51329899.0,Asia,09-03-2023
8.0,Italy,25603510,,188322.0,,25267118,,148070,137,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe,09-03-2023
9.0,UK,24396534,,207695.0,,24120105,+6559,68734,-,356165.0,3032.0,522526476.0,7628357.0,68497907.0,Europe,09-03-2023
10.0,Russia,22388556,12496.0,396463.0,40.0,21729768,+12536,262325,-,153550.0,2719.0,273400000.0,1875095.0,145805947.0,Europe,09-03-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,09-03-2023
12.0,Spain,13770429,,119479.0,,13615878,,35072,231,294749.0,2557.0,471036328.0,10082298.0,46719142.0,Europe,09-03-2023
13.0,Vietnam,11527012,18.0,43186.0,,10614809,+2,869017,3,116489.0,436.0,85826548.0,867342.0,98953541.0,Asia,09-03-2023
14.0,Australia,11385534,,19459.0,,11332576,,33499,27,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,09-03-2023
15.0,Taiwan,10143783,9579.0,18371.0,49.0,9875952,+15391,249460,,424629.0,769.0,30742304.0,1286903.0,23888595.0,Asia,09-03-2023
16.0,Argentina,10044957,,130472.0,,9911664,,2821,363,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America,09-03-2023
17.0,Netherlands,8600120,,22992.0,,8561362,+252,15766,53,499674.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,09-03-2023
18.0,Iran,7572311,315.0,144933.0,11.0,7340087,+124,87291,382,88027.0,1685.0,55353767.0,643478.0,86022837.0,Asia,09-03-2023
19.0,Mexico,7479635,4416.0,333170.0,34.0,6716617,+2982,429848,-,56852.0,2532.0,19642771.0,149303.0,131562772.0,North America,09-03-2023
20.0,Indonesia,6738225,307.0,160941.0,4.0,6574177,+291,3107,-,24140.0,577.0,114158919.0,408975.0,279134505.0,Asia,09-03-2023
21.0,Poland,6444956,3458.0,119010.0,21.0,5335940,,990006,696,170774.0,3153.0,38345769.0,1016057.0,37739785.0,Europe,09-03-2023
22.0,Colombia,6360780,,142639.0,,6184346,,33795,342,123480.0,2769.0,36951507.0,717327.0,51512762.0,South America,09-03-2023
23.0,Austria,5961349,5270.0,21977.0,5.0,5884900,+3700,54472,72,657499.0,2424.0,211273524.0,23302116.0,9066710.0,Europe,09-03-2023
24.0,Greece,5896788,,36283.0,,5824799,+2618,35706,115,571580.0,3517.0,102228365.0,9909078.0,10316637.0,Europe,09-03-2023
25.0,Portugal,5570473,,26266.0,,5538659,,5548,61,549325.0,2590.0,45994869.0,4535728.0,10140570.0,Europe,09-03-2023
26.0,Ukraine,5399231,,111298.0,,5270797,,17136,,125005.0,2577.0,32603805.0,754855.0,43192122.0,Europe,09-03-2023
27.0,Chile,5192286,3906.0,64273.0,19.0,5119229,+2722,8784,84,269726.0,3339.0,48573326.0,2523264.0,19250195.0,South America,09-03-2023
28.0,Malaysia,5044718,279.0,36967.0,,4998455,+236,9296,5,152036.0,1114.0,68286795.0,2058004.0,33181072.0,Asia,09-03-2023
29.0,Israel,4803833,660.0,12329.0,4.0,4781252,,10252,57,515101.0,1322.0,41373364.0,4436346.0,9326000.0,Asia,09-03-2023
30.0,DPRK,4772813,,74.0,,4772739,,0,,183636.0,3.0,,,25990679.0,Asia,09-03-2023
31.0,Belgium,4739365,1653.0,33814.0,6.0,4664797,+792,40754,43,406175.0,2898.0,36797565.0,3153641.0,11668278.0,Europe,09-03-2023
32.0,Thailand,4728182,,33918.0,,4692636,,1628,-,67470.0,484.0,17270775.0,246450.0,70078203.0,Asia,09-03-2023
33.0,Czechia,4618261,1139.0,42496.0,3.0,4565259,+163,10506,48,430134.0,3958.0,57037294.0,5312326.0,10736784.0,Europe,09-03-2023
34.0,Canada,4600615,,51447.0,,4512398,+1441,36770,99,119844.0,1340.0,66343123.0,1728207.0,38388419.0,North America,09-03-2023
35.0,Peru,4487553,287.0,219539.0,1.0,4265634,+244,2380,34,133224.0,6518.0,38122323.0,1131757.0,33684208.0,South America,09-03-2023
36.0,Switzerland,4392464,,14452.0,,4373995,,4017,39,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,09-03-2023
37.0,Philippines,4077441,151.0,66188.0,12.0,4002247,+64,9006,162,36241.0,588.0,34667870.0,308134.0,112508994.0,Asia,09-03-2023
38.0,South Africa,4067067,426.0,102595.0,,3912506,,51966,192,66941.0,1689.0,26795090.0,441027.0,60756135.0,Africa,09-03-2023
39.0,Romania,3346046,,67736.0,,3267395,,10915,119,175818.0,3559.0,26750616.0,1405609.0,19031335.0,Europe,09-03-2023
40.0,Denmark,3175822,84.0,8296.0,4.0,3166615,+79,911,19,544276.0,1422.0,129207898.0,22143788.0,5834950.0,Europe,09-03-2023
41.0,Hong Kong,2883851,50.0,13467.0,1.0,2863814,+455,6570,28,379240.0,1771.0,76127725.0,10011143.0,7604299.0,Asia,09-03-2023
42.0,Sweden,2699339,,23749.0,,2672273,+315,3317,8,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe,09-03-2023
43.0,Serbia,2500142,873.0,17881.0,6.0,2466980,+579,15281,8,288933.0,2066.0,12467638.0,1440843.0,8653016.0,Europe,09-03-2023
44.0,Iraq,2465545,,25375.0,,2439497,,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,09-03-2023
45.0,Singapore,2230570,,1722.0,,2149583,,79265,1,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia,09-03-2023
46.0,New Zealand,2228291,,3922.0,,2214316,,10053,,454920.0,801.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,09-03-2023
47.0,Hungary,2196804,,48762.0,,2143788,,4254,14,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe,09-03-2023
48.0,Bangladesh,2037871,,29445.0,,1998448,,9978,-,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,09-03-2023
49.0,Slovakia,1863865,116.0,21035.0,2.0,1841462,+98,1368,25,341355.0,3852.0,7408131.0,1356753.0,5460193.0,Europe,09-03-2023
50.0,Georgia,1827537,,16971.0,,1776548,,34018,,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia,09-03-2023
51.0,Jordan,1746997,,14122.0,,1731007,,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,09-03-2023
52.0,Ireland,1704502,,8708.0,,1693155,+282,2639,8,339529.0,1735.0,13040649.0,2597636.0,5020199.0,Europe,09-03-2023
53.0,Pakistan,1577339,50.0,30644.0,,1538689,,8006,9,6873.0,134.0,30570862.0,133213.0,229488994.0,Asia,09-03-2023
54.0,Norway,1479506,53.0,5213.0,,1473506,+47,787,20,268446.0,946.0,11002430.0,1996315.0,5511370.0,Europe,09-03-2023
55.0,Finland,1463644,,8967.0,,1452510,+113,2167,21,263484.0,1614.0,12057338.0,2170554.0,5554960.0,Europe,09-03-2023
56.0,Kazakhstan,1408124,,13846.0,,1383020,,11258,24,73321.0,721.0,11575012.0,602707.0,19205043.0,Asia,09-03-2023
57.0,Slovenia,1331709,508.0,7077.0,,1319340,,5292,4,640850.0,3406.0,2840789.0,1367056.0,2078034.0,Europe,09-03-2023
58.0,Lithuania,1307825,377.0,9596.0,,1291847,+52,6382,6,491348.0,3605.0,10387153.0,3902439.0,2661708.0,Europe,09-03-2023
59.0,Bulgaria,1297523,72.0,38228.0,3.0,1256281,+76,3014,27,189569.0,5585.0,11074571.0,1618002.0,6844597.0,Europe,09-03-2023
60.0,Morocco,1272490,,16296.0,,1256151,,43,3,33688.0,431.0,12992640.0,343969.0,37772756.0,Africa,09-03-2023
61.0,Croatia,1269326,,17987.0,,1250890,,449,5,312697.0,4431.0,5521987.0,1360335.0,4059286.0,Europe,09-03-2023
62.0,Guatemala,1238049,,20182.0,,1216847,,1020,5,66619.0,1086.0,6971176.0,375116.0,18584039.0,North America,09-03-2023
63.0,Lebanon,1232828,179.0,10841.0,1.0,1087587,,134400,74,184421.0,1622.0,4795578.0,717380.0,6684849.0,Asia,09-03-2023
64.0,Costa Rica,1209725,,9245.0,,860711,,339769,52,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America,09-03-2023
65.0,Bolivia,1194277,90.0,22365.0,,1160475,+286,11437,220,99584.0,1865.0,2705422.0,225590.0,11992656.0,South America,09-03-2023
66.0,Tunisia,1151126,,29341.0,,-,-,-,44,95556.0,2436.0,5003083.0,415309.0,12046656.0,Africa,09-03-2023
67.0,Cuba,1112643,6.0,8530.0,,1104033,+9,80,,98415.0,754.0,14321589.0,1266764.0,11305652.0,North America,09-03-2023
68.0,Ecuador,1057121,,36014.0,,1020564,,543,759,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America,09-03-2023
69.0,UAE,1053213,145.0,2349.0,,1035930,+96,14934,,104467.0,233.0,199406137.0,19778852.0,10081785.0,Asia,09-03-2023
70.0,Uruguay,1034303,,7617.0,,1026186,,500,18,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,09-03-2023
71.0,Panama,1031731,,8609.0,,1022524,,598,16,232008.0,1936.0,7548346.0,1697416.0,4446964.0,North America,09-03-2023
72.0,Mongolia,1007900,,2179.0,,1005717,,4,192,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia,09-03-2023
73.0,Nepal,1001154,4.0,12020.0,,989128,+2,6,,33123.0,398.0,6014737.0,198995.0,30225582.0,Asia,09-03-2023
74.0,Belarus,994037,,7118.0,,985592,,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,09-03-2023
75.0,Latvia,976255,27.0,6253.0,1.0,969642,+19,360,13,528037.0,3382.0,7866206.0,4254678.0,1848837.0,Europe,09-03-2023
76.0,Saudi Arabia,830127,83.0,9618.0,,817212,+73,3297,38,23159.0,268.0,45175083.0,1260293.0,35844909.0,Asia,09-03-2023
77.0,Azerbaijan,828825,6.0,10138.0,,818497,+41,190,,80467.0,984.0,7537871.0,731818.0,10300205.0,Asia,09-03-2023
78.0,Paraguay,808401,,19878.0,,-,-,-,7,110651.0,2721.0,2657506.0,363751.0,7305843.0,South America,09-03-2023
79.0,Bahrain,710693,387.0,1553.0,,706332,+319,2808,1,398374.0,871.0,10751071.0,6026443.0,1783983.0,Asia,09-03-2023
80.0,Sri Lanka,672039,2.0,16830.0,,655203,+1,6,,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia,09-03-2023
81.0,Kuwait,663860,,2570.0,,660237,,1053,,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia,09-03-2023
82.0,Dominican Republic,660790,,4384.0,,644785,,11621,4,59766.0,397.0,3740928.0,338350.0,11056370.0,North America,09-03-2023
83.0,Cyprus,650685,,1330.0,,644185,,5170,60,531872.0,1087.0,9640118.0,7879860.0,1223387.0,Asia,09-03-2023
84.0,Myanmar,633950,1.0,19490.0,,614426,,34,,11479.0,353.0,10087876.0,182662.0,55227143.0,Asia,09-03-2023
85.0,Palestine,621008,,5404.0,,615445,,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,09-03-2023
86.0,Estonia,615423,,2946.0,,524990,,87487,5,465556.0,2229.0,3679061.0,2783140.0,1321910.0,Europe,09-03-2023
