#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
37.0,Philippines,4077290,121.0,66176.0,9.0,4002183,+68,8931,162,36240.0,588.0,34658901.0,308054.0,112508994.0,Asia,08-03-2023
38.0,South Africa,4066641,597.0,102595.0,,3912506,,51540,192,66934.0,1689.0,26795090.0,441027.0,60756135.0,Africa,08-03-2023
39.0,Romania,3346046,,67736.0,,3267395,+4126,10915,119,175818.0,3559.0,26750616.0,1405609.0,19031335.0,Europe,08-03-2023
40.0,Denmark,3175738,83.0,8292.0,7.0,3166536,+62,910,19,544261.0,1421.0,129206485.0,22143546.0,5834950.0,Europe,08-03-2023
41.0,Hong Kong,2883801,39.0,13466.0,,2863359,+361,6976,28,379233.0,1771.0,76127725.0,10011143.0,7604299.0,Asia,08-03-2023
42.0,Sweden,2699339,153.0,23749.0,,2671958,+65,3632,8,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe,08-03-2023
43.0,Serbia,2499269,954.0,17875.0,7.0,2466401,+715,14993,12,288832.0,2066.0,12459576.0,1439911.0,8653016.0,Europe,08-03-2023
44.0,Iraq,2465545,,25375.0,,2439497,,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,08-03-2023
45.0,Singapore,2230570,,1722.0,,2149583,,79265,1,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia,08-03-2023
46.0,New Zealand,2228291,,3922.0,,2214316,,10053,,454920.0,801.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,08-03-2023
47.0,Hungary,2196804,878.0,48762.0,11.0,2143788,+604,4254,14,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe,08-03-2023
48.0,Bangladesh,2037871,42.0,29445.0,,1998448,,9978,-,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,08-03-2023
49.0,Slovakia,1863749,159.0,21033.0,2.0,1841364,+138,1352,25,341334.0,3852.0,7407583.0,1356652.0,5460193.0,Europe,08-03-2023
50.0,Georgia,1827537,,16971.0,,1776548,,34018,,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia,08-03-2023
51.0,Jordan,1746997,,14122.0,,1731007,,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,08-03-2023
52.0,Ireland,1704502,652.0,8708.0,17.0,1692873,,2921,9,339529.0,1735.0,13037474.0,2597003.0,5020199.0,Europe,08-03-2023
53.0,Pakistan,1577289,45.0,30644.0,1.0,1538689,,7956,10,6873.0,134.0,30570862.0,133213.0,229488994.0,Asia,08-03-2023
54.0,Norway,1479453,61.0,5213.0,,1473459,+38,781,20,268437.0,946.0,11002430.0,1996315.0,5511370.0,Europe,08-03-2023
55.0,Finland,1463644,14.0,8967.0,,1452397,+66,2280,21,263484.0,1614.0,12047792.0,2168835.0,5554960.0,Europe,08-03-2023
56.0,Kazakhstan,1408124,,13846.0,,1383020,,11258,24,73321.0,721.0,11575012.0,602707.0,19205043.0,Asia,08-03-2023
57.0,Slovenia,1331201,539.0,7077.0,1.0,1319340,+340,4784,4,640606.0,3406.0,2840362.0,1366851.0,2078034.0,Europe,08-03-2023
58.0,Lithuania,1307448,404.0,9596.0,,1291795,+372,6057,6,491206.0,3605.0,10387153.0,3902439.0,2661708.0,Europe,08-03-2023
59.0,Bulgaria,1297451,93.0,38225.0,3.0,1256205,+122,3021,25,189558.0,5585.0,11072204.0,1617656.0,6844597.0,Europe,08-03-2023
60.0,Morocco,1272490,,16296.0,,1256151,,43,3,33688.0,431.0,12992640.0,343969.0,37772756.0,Africa,08-03-2023
61.0,Croatia,1269326,,17987.0,,1250890,,449,5,312697.0,4431.0,5521987.0,1360335.0,4059286.0,Europe,08-03-2023
62.0,Guatemala,1238049,260.0,20182.0,2.0,1216847,+263,1020,5,66619.0,1086.0,6971176.0,375116.0,18584039.0,North America,08-03-2023
63.0,Lebanon,1232649,132.0,10840.0,,1087587,,134222,74,184394.0,1622.0,4795578.0,717380.0,6684849.0,Asia,08-03-2023
64.0,Costa Rica,1209725,5561.0,9245.0,15.0,860711,,339769,52,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America,08-03-2023
65.0,Bolivia,1194187,118.0,22365.0,,1160189,+625,11633,220,99577.0,1865.0,2705422.0,225590.0,11992656.0,South America,08-03-2023
66.0,Tunisia,1151126,,29341.0,,-,-,-,44,95556.0,2436.0,5003083.0,415309.0,12046656.0,Africa,08-03-2023
67.0,Cuba,1112637,6.0,8530.0,,1104024,+9,83,,98414.0,754.0,14321589.0,1266764.0,11305652.0,North America,08-03-2023
68.0,Ecuador,1057121,,36014.0,,1020564,,543,759,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America,08-03-2023
69.0,UAE,1053068,142.0,2349.0,,1035834,+71,14885,,104453.0,233.0,199384754.0,19776731.0,10081785.0,Asia,08-03-2023
70.0,Uruguay,1034303,,7617.0,,1026186,,500,18,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,08-03-2023
71.0,Panama,1031731,,8609.0,,1022524,,598,16,232008.0,1936.0,7548346.0,1697416.0,4446964.0,North America,08-03-2023
72.0,Mongolia,1007900,3.0,2179.0,,1005717,+1,4,192,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia,08-03-2023
73.0,Nepal,1001150,1.0,12020.0,,989126,+2,4,,33123.0,398.0,6014634.0,198992.0,30225582.0,Asia,08-03-2023
74.0,Belarus,994037,,7118.0,,985592,,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,08-03-2023
75.0,Latvia,976228,40.0,6252.0,2.0,969623,+36,353,13,528023.0,3382.0,7866206.0,4254678.0,1848837.0,Europe,08-03-2023
76.0,Saudi Arabia,830044,89.0,9618.0,,817139,+60,3287,42,23157.0,268.0,45171493.0,1260193.0,35844909.0,Asia,08-03-2023
77.0,Azerbaijan,828819,36.0,10138.0,3.0,818456,+38,225,,80466.0,984.0,7536288.0,731664.0,10300205.0,Asia,08-03-2023
78.0,Paraguay,808401,,19878.0,,-,-,-,7,110651.0,2721.0,2657506.0,363751.0,7305843.0,South America,08-03-2023
79.0,Bahrain,710306,448.0,1553.0,,706013,,2740,2,398157.0,871.0,10749553.0,6025592.0,1783983.0,Asia,08-03-2023
80.0,Sri Lanka,672037,1.0,16830.0,,655202,,5,,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia,08-03-2023
81.0,Kuwait,663860,404.0,2570.0,,660237,,1053,,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia,08-03-2023
82.0,Dominican Republic,660790,85.0,4384.0,,644785,,11621,4,59766.0,397.0,3740928.0,338350.0,11056370.0,North America,08-03-2023
83.0,Cyprus,650685,,1330.0,,644185,,5170,60,531872.0,1087.0,9640118.0,7879860.0,1223387.0,Asia,08-03-2023
84.0,Myanmar,633949,,19490.0,,614426,+10,33,,11479.0,353.0,10083958.0,182591.0,55227143.0,Asia,08-03-2023
85.0,Palestine,621008,,5404.0,,615445,,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,08-03-2023
86.0,Estonia,615423,,2946.0,,524990,,87487,5,465556.0,2229.0,3679061.0,2783140.0,1321910.0,Europe,08-03-2023
87.0,Moldova,611140,3690.0,12003.0,15.0,504142,,94995,49,152284.0,2991.0,3216305.0,801437.0,4013171.0,Europe,08-03-2023
88.0,Venezuela,552162,5.0,5854.0,,545941,+17,367,36,18866.0,200.0,3359014.0,114771.0,29266991.0,South America,08-03-2023
89.0,Egypt,515759,61.0,24613.0,,442182,,48964,122,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,08-03-2023
90.0,Libya,507187,,6437.0,,500737,,13,,72036.0,914.0,2483812.0,352777.0,7040745.0,Africa,08-03-2023
91.0,China,503302,,5272.0,,379053,,118977,7557,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,08-03-2023
92.0,Ethiopia,500102,17.0,7572.0,,487347,+4,5183,1,4139.0,63.0,5496670.0,45497.0,120812698.0,Africa,08-03-2023
93.0,Qatar,494982,114.0,688.0,,493791,+62,503,38,166106.0,231.0,4065369.0,1364257.0,2979915.0,Asia,08-03-2023
94.0,Réunion,486588,,921.0,,418572,,67095,10,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,08-03-2023
95.0,Honduras,472250,,11111.0,,-,-,-,105,46203.0,1087.0,1635967.0,160056.0,10221247.0,North America,08-03-2023
96.0,Armenia,447308,489.0,8727.0,6.0,435162,,3419,,150509.0,2936.0,3242901.0,1091164.0,2971966.0,Asia,08-03-2023
97.0,Bosnia and Herzegovina,401729,93.0,16280.0,1.0,379084,,6365,,123635.0,5010.0,1884721.0,580036.0,3249317.0,Europe,08-03-2023
98.0,Oman,399449,,4628.0,,384669,,10152,2,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,08-03-2023
99.0,North Macedonia,346852,,9662.0,,337068,,122,,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,08-03-2023
100.0,Zambia,343135,,4057.0,,338854,,224,,17624.0,208.0,3943335.0,202531.0,19470234.0,Africa,08-03-2023
101.0,Kenya,342937,5.0,5688.0,,337222,+2,27,1,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,08-03-2023
