#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,680261711,143685.0,6802334.0,767.0,653004808,+173193,20454569,40473,87271.0,872.7,,,,All,01-03-2023
1.0,USA,105373517,18136.0,1146500.0,207.0,102748085,+64851,1478932,2515,314731.0,3424.0,1167210022.0,3486236.0,334805269.0,North America,01-03-2023
2.0,India,44686879,268.0,530772.0,,44153668,+164,2439,-,31769.0,377.0,918794368.0,653188.0,1406631776.0,Asia,01-03-2023
3.0,France,39626756,4525.0,164988.0,25.0,39390798,+3619,70970,869,604209.0,2516.0,271490188.0,4139547.0,65584518.0,Europe,01-03-2023
4.0,Germany,38189954,21046.0,168175.0,89.0,37715700,+16500,306079,-,455273.0,2005.0,122332384.0,1458359.0,83883596.0,Europe,01-03-2023
5.0,Brazil,37063464,10528.0,699197.0,110.0,36241001,+5672,123266,-,172105.0,3247.0,63776166.0,296146.0,215353593.0,South America,01-03-2023
6.0,Japan,33219038,13950.0,72486.0,99.0,21685717,+762,11460835,160,264515.0,577.0,95253685.0,758481.0,125584838.0,Asia,01-03-2023
7.0,S. Korea,30526012,12291.0,33988.0,11.0,30304171,+12649,187853,145,594702.0,662.0,15804065.0,307892.0,51329899.0,Asia,01-03-2023
8.0,Italy,25576852,,188094.0,,25219653,,169105,133,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,01-03-2023
9.0,UK,24341615,,206246.0,,24091325,+3456,44044,-,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,01-03-2023
10.0,Russia,22285908,13438.0,396137.0,37.0,21631409,+16557,258362,-,152846.0,2717.0,273400000.0,1875095.0,145805947.0,Europe,01-03-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,01-03-2023
12.0,Spain,13763336,,119380.0,,13607068,,36888,231,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,01-03-2023
13.0,Vietnam,11526926,9.0,43186.0,,10614777,+8,868963,2,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,01-03-2023
14.0,Australia,11380056,2739.0,19434.0,12.0,11327501,+2537,33121,36,436539.0,745.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,01-03-2023
15.0,Taiwan,10055436,12209.0,17975.0,27.0,9736050,+20872,301411,,420930.0,752.0,30742304.0,1286903.0,23888595.0,Asia,01-03-2023
16.0,Argentina,10044125,,130463.0,,9909866,,3796,363,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,01-03-2023
17.0,Netherlands,8596296,,22992.0,,8558816,,14488,53,499452.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,01-03-2023
18.0,Iran,7568903,997.0,144858.0,13.0,7339457,+92,84588,301,87987.0,1684.0,55034937.0,639771.0,86022837.0,Asia,01-03-2023
19.0,Mexico,7451429,,332988.0,,6690914,,427527,-,56638.0,2531.0,19572325.0,148768.0,131562772.0,North America,01-03-2023
20.0,Indonesia,6736298,252.0,160916.0,2.0,6571845,+153,3537,-,24133.0,576.0,114158919.0,408975.0,279134505.0,Asia,01-03-2023
21.0,Poland,6422464,2989.0,118898.0,14.0,5335940,,967626,696,170178.0,3150.0,38279634.0,1014305.0,37739785.0,Europe,01-03-2023
22.0,Colombia,6360089,625.0,142629.0,14.0,6183658,+1354,33802,342,123466.0,2769.0,36951507.0,717327.0,51512762.0,South America,01-03-2023
23.0,Austria,5919931,8185.0,21897.0,2.0,5841778,+4742,56256,86,652930.0,2415.0,211273524.0,23302116.0,9066710.0,Europe,01-03-2023
24.0,Greece,5871458,,36185.0,,5804980,+1599,30293,115,569125.0,3507.0,102228365.0,9909078.0,10316637.0,Europe,01-03-2023
25.0,Portugal,5568084,,26180.0,,5537790,,4114,61,549090.0,2582.0,45980330.0,4534294.0,10140570.0,Europe,01-03-2023
26.0,Ukraine,5389439,,111235.0,,5265637,+3708,12567,,124778.0,2575.0,32603805.0,754855.0,43192122.0,Europe,01-03-2023
27.0,Chile,5169139,2811.0,64177.0,1.0,5099538,+2091,5424,85,268524.0,3334.0,48454162.0,2517074.0,19250195.0,South America,01-03-2023
28.0,Malaysia,5043008,217.0,36960.0,2.0,4996818,+233,9230,7,151984.0,1114.0,68198303.0,2055338.0,33181072.0,Asia,01-03-2023
29.0,Israel,4799640,357.0,12292.0,2.0,4781252,,6096,57,514652.0,1318.0,41373364.0,4436346.0,9326000.0,Asia,01-03-2023
30.0,DPRK,4772813,,74.0,,4772739,,0,,183636.0,3.0,,,25990679.0,Asia,01-03-2023
31.0,Thailand,4728035,,33911.0,,4692636,,1488,-,67468.0,484.0,17270775.0,246450.0,70078203.0,Asia,01-03-2023
32.0,Belgium,4726346,1448.0,33767.0,9.0,4659455,+558,33124,43,405059.0,2894.0,36709556.0,3146099.0,11668278.0,Europe,01-03-2023
33.0,Czechia,4611006,1173.0,42445.0,1.0,4558330,+202,10231,38,429459.0,3953.0,56998352.0,5308699.0,10736784.0,Europe,01-03-2023
34.0,Canada,4591149,,51249.0,,4500536,+1341,39364,99,119597.0,1335.0,66343123.0,1728207.0,38388419.0,North America,01-03-2023
35.0,Peru,4486034,281.0,219439.0,8.0,4264598,+264,1997,38,133179.0,6515.0,38041008.0,1129343.0,33684208.0,South America,01-03-2023
36.0,Switzerland,4391007,,14452.0,,4371249,,5306,39,500477.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,01-03-2023
37.0,Philippines,4076404,107.0,66118.0,7.0,4001070,+99,9216,162,36232.0,588.0,34603075.0,307558.0,112508994.0,Asia,01-03-2023
38.0,South Africa,4063863,290.0,102595.0,,3912506,,48762,192,66888.0,1689.0,26795090.0,441027.0,60756135.0,Africa,01-03-2023
39.0,Romania,3340342,,67704.0,,3263301,+3200,9337,115,175518.0,3558.0,26676248.0,1401701.0,19031335.0,Europe,01-03-2023
40.0,Denmark,3175264,69.0,8269.0,4.0,3166080,+68,915,19,544180.0,1417.0,129197382.0,22141986.0,5834950.0,Europe,01-03-2023
41.0,Hong Kong,2883453,107.0,13460.0,3.0,2848855,+1981,21138,28,379187.0,1770.0,76127725.0,10011143.0,7604299.0,Asia,01-03-2023
42.0,Sweden,2698535,115.0,23703.0,,2670647,+70,4185,9,264071.0,2320.0,19469139.0,1905196.0,10218971.0,Europe,01-03-2023
43.0,Serbia,2492563,,17826.0,,2460904,,13833,16,288057.0,2060.0,12396861.0,1432664.0,8653016.0,Europe,01-03-2023
44.0,Iraq,2465545,,25375.0,,2439497,,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,01-03-2023
45.0,Singapore,2230570,,1722.0,,2149583,,79265,1,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia,01-03-2023
46.0,New Zealand,2216852,,3904.0,,2205354,,7594,,452585.0,797.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,01-03-2023
47.0,Hungary,2195926,957.0,48751.0,6.0,2143184,+502,3991,13,228593.0,5075.0,11394556.0,1186160.0,9606259.0,Europe,01-03-2023
48.0,Bangladesh,2037829,11.0,29445.0,,1998448,,9936,-,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,01-03-2023
49.0,Slovakia,1863022,133.0,21024.0,3.0,1840809,+122,1189,20,341201.0,3850.0,7403776.0,1355955.0,5460193.0,Europe,01-03-2023
50.0,Georgia,1825598,,16965.0,,1776548,,32085,,459995.0,4275.0,16920079.0,4263340.0,3968738.0,Asia,01-03-2023
51.0,Jordan,1746997,,14122.0,,1731007,,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,01-03-2023
52.0,Ireland,1703850,,8691.0,,1692188,+9,2971,11,339399.0,1731.0,13024205.0,2594360.0,5020199.0,Europe,01-03-2023
53.0,Pakistan,1576999,37.0,30643.0,,1538689,,7667,13,6872.0,134.0,30570862.0,133213.0,229488994.0,Asia,01-03-2023
54.0,Norway,1479087,55.0,5213.0,,1473283,+67,591,20,268370.0,946.0,11002430.0,1996315.0,5511370.0,Europe,01-03-2023
55.0,Finland,1462974,85.0,8936.0,,1451864,+86,2174,21,263364.0,1609.0,12047792.0,2168835.0,5554960.0,Europe,01-03-2023
