#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,679742243,75340.0,6798879.0,296.0,652512495,+104956,20430869,40530,87205.0,872.2,,,,All,26-02-2023
1.0,USA,105260507,5336.0,1145365.0,19.0,102620644,+15634,1494498,2588,314393.0,3421.0,1166749212.0,3484859.0,334805269.0,North America,26-02-2023
2.0,India,44686202,185.0,530770.0,1.0,44153203,+104,2229,-,31768.0,377.0,918535118.0,653003.0,1406631776.0,Asia,26-02-2023
3.0,France,39615739,2942.0,164877.0,,39378241,+718,72621,869,604041.0,2514.0,271490188.0,4139547.0,65584518.0,Europe,26-02-2023
4.0,Germany,38111063,,167812.0,,37661500,+2900,281751,-,454333.0,2001.0,122332384.0,1458359.0,83883596.0,Europe,26-02-2023
5.0,Brazil,37024417,952.0,698947.0,14.0,36185975,,139495,-,171924.0,3246.0,63776166.0,296146.0,215353593.0,South America,26-02-2023
6.0,Japan,33184966,12399.0,72268.0,62.0,21682369,+1565,11430329,172,264243.0,575.0,94989804.0,756380.0,125584838.0,Asia,26-02-2023
7.0,S. Korea,30498878,9212.0,33946.0,6.0,30278039,+32587,186893,181,594174.0,661.0,15804065.0,307892.0,51329899.0,Asia,26-02-2023
8.0,Italy,25576852,,188094.0,,25219653,,169105,133,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,26-02-2023
9.0,UK,24341615,,206246.0,,24080781,+2450,54588,-,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,26-02-2023
10.0,Russia,22253137,9574.0,396035.0,31.0,21591237,+9774,265865,-,152622.0,2716.0,273400000.0,1875095.0,145805947.0,Europe,26-02-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,26-02-2023
12.0,Spain,13763336,,119380.0,,13607068,,36888,231,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,26-02-2023
13.0,Vietnam,11526901,10.0,43186.0,,10614760,+1,868955,3,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,26-02-2023
14.0,Australia,11366361,,19373.0,,11314814,,32174,36,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,26-02-2023
15.0,Argentina,10044125,817.0,130463.0,5.0,9908958,+456,4704,363,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,26-02-2023
16.0,Taiwan,10025363,13087.0,17864.0,46.0,9667651,+16572,339848,,419672.0,748.0,30742304.0,1286903.0,23888595.0,Asia,26-02-2023
17.0,Netherlands,8593293,284.0,22992.0,,8558127,+280,12174,53,499278.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,26-02-2023
18.0,Iran,7567702,83.0,144842.0,7.0,7339205,+76,83655,273,87973.0,1684.0,55034937.0,639771.0,86022837.0,Asia,26-02-2023
19.0,Mexico,7443151,,332938.0,,6680289,,429924,-,56575.0,2531.0,19551137.0,148607.0,131562772.0,North America,26-02-2023
