#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,680700273,61029.0,6805512.0,292.0,653526300,+69375,20368461,40663,87327.0,873.1,,,,All,05-03-2023
1.0,USA,105404982,4255.0,1146814.0,25.0,102864696,+3013,1393472,2726,314825.0,3425.0,1167695221.0,3487685.0,334805269.0,North America,05-03-2023
2.0,India,44688101,281.0,530775.0,,44154425,+171,2901,-,31770.0,377.0,919095823.0,653402.0,1406631776.0,Asia,05-03-2023
3.0,France,39638159,,165030.0,,39399753,,73376,869,604383.0,2516.0,271490188.0,4139547.0,65584518.0,Europe,05-03-2023
4.0,Germany,38210850,,168397.0,,37749800,+3100,292653,-,455522.0,2008.0,122332384.0,1458359.0,83883596.0,Europe,05-03-2023
5.0,Brazil,37076053,,699276.0,,36249161,,127616,-,172164.0,3247.0,63776166.0,296146.0,215353593.0,South America,05-03-2023
6.0,Japan,33260228,8731.0,72771.0,50.0,21693335,+640,11494122,132,264843.0,579.0,95633415.0,761504.0,125584838.0,Asia,05-03-2023
7.0,S. Korea,30564915,9813.0,34025.0,5.0,30363200,+12513,167690,143,595460.0,663.0,15804065.0,307892.0,51329899.0,Asia,05-03-2023
8.0,Italy,25603510,,188322.0,,25267118,,148070,137,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe,05-03-2023
9.0,UK,24370154,,206952.0,,24102268,+2803,60934,-,355780.0,3021.0,522526476.0,7628357.0,68497907.0,Europe,05-03-2023
10.0,Russia,22342128,13559.0,396298.0,43.0,21677256,+8936,268574,-,153232.0,2718.0,273400000.0,1875095.0,145805947.0,Europe,05-03-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,05-03-2023
