#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
,World,680537978,+102416,6804654,+619,653341863,+145198,20391461,40638,87307,873.0,,,,All
1,USA,105392498,+8481,1146723,+93,102846371,+56219,1399404,2726,314787,3425,1167591546,3487375,334805269,North America
2,India,44687496,+334,530775,+3,44154035,+170,2686,-,31769,377,918992653,653329,1406631776,Asia
3,France,39634146,+3194,165030,+21,39397305,+3166,71811,869,604322,2516,271490188,4139547,65584518,Europe
4,Germany,38210850,+8279,168397,+101,37742800,+13200,299653,-,455522,2008,122332384,1458359,83883596,Europe
5,Brazil,37076053,+9262,699276,+46,36249161,+8160,127616,-,172164,3247,63776166,296146,215353593,South America
6,Japan,33241066,+10522,72640,+67,21689308,+1538,11479118,130,264690,578,95481075,760291,125584838,Asia
7,S. Korea,30543981,+10408,34014,+11,30321370,+5159,188597,135,595052,663,15804065,307892,51329899,Asia
8,Italy,25603510,,188322,,25267118,,148070,137,424864,3125,268196399,4450449,60262770,Europe
9,UK,24370154,,206952,,24099868,+5333,63334,-,355780,3021,522526476,7628357,68497907,Europe
10,Russia,22314520,+14516,396216,+40,21656858,+11512,261446,-,153043,2717,273400000,1875095,145805947,Europe
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976,Asia
12,Spain,13770429,+1015,119479,+15,13615878,+1278,35072,231,294749,2557,471036328,10082298,46719142,Europe
13,Vietnam,11526950,+13,43186,,10614788,+5,868976,5,116489,436,85826548,867342,98953541,Asia
14,Australia,11385534,+2739,19459,+12,11332576,+2537,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10083336,+13798,18072,+62,9773889,+18256,291375,,422098,757,30742304,1286903,23888595,Asia
16,Argentina,10044125,,130463,,9909866,,3796,363,218302,2836,35716069,776264,46010234,South America
17,Netherlands,8598182,+557,22992,,8559864,+862,15326,53,499562,1336,25984435,1509718,17211447,Europe
18,Iran,7569483,+222,144867,+3,7339572,+54,85044,312,87994,1684,55034937,639771,86022837,Asia
19,Mexico,7459860,,333038,,6696871,,429951,-,56702,2531,19572325,148768,131562772,North America
20,Indonesia,6736787,+211,160925,+5,6572332,+234,3530,-,24135,577,114158919,408975,279134505,Asia
21,Poland,6428776,+3284,118941,+17,5335940,,973895,696,170345,3152,38297715,1014784,37739785,Europe
22,Colombia,6360089,,142629,,6183658,,33802,342,123466,2769,36951507,717327,51512762,South America
23,Austria,5931247,+4938,21907,+1,5848610,+2776,60730,81,654179,2416,211273524,23302116,9066710,Europe
24,Greece,5871458,,36185,,5809088,+2510,26185,115,569125,3507,102228365,9909078,10316637,Europe
25,Portugal,5568084,,26180,,5538074,+347,3830,61,549090,2582,45980330,4534294,10140570,Europe
26,Ukraine,5389439,,111235,,5265577,,12627,,124778,2575,32603805,754855,43192122,Europe
27,Chile,5174951,+2861,64210,+13,5101501,,9240,87,268826,3336,48486557,2518757,19250195,South America
28,Malaysia,5043456,+204,36965,,4997244,+426,9247,6,151998,1114,68236549,2056490,33181072,Asia
29,Israel,4800913,+516,12303,,4781252,,7358,57,514788,1319,41373364,4436346,9326000,Asia
30,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Asia
31,Thailand,4728035,,33911,,4692636,,1488,-,67468,484,17270775,246450,70078203,Asia
32,Belgium,4727795,,33775,,4661128,+1115,32892,43,405184,2895,36752058,3149741,11668278,Europe
33,Czechia,4612902,+906,42460,+7,4560298,+1820,10144,47,429635,3955,57013317,5310093,10736784,Europe
34,Canada,4591149,,51249,,4503595,+1529,36305,99,119597,1335,66343123,1728207,38388419,North America
35,Peru,4486453,+171,219478,+30,4265083,+160,1892,35,133192,6516,38065549,1130071,33684208,South America
36,Switzerland,4391007,,14452,,4373026,,3529,39,500477,1647,23833472,2716487,8773637,Europe
37,Philippines,4076704,+142,66133,+7,4001216,+80,9355,162,36234,588,34621433,307721,112508994,Asia
38,South Africa,4064889,+432,102595,,3912506,,49788,192,66905,1689,26795090,441027,60756135,Africa
39,Romania,3340342,,67704,,3263301,,9337,115,175518,3558,26676248,1401701,19031335,Europe
40,Denmark,3175405,+73,8274,+2,3166221,+65,910,19,544204,1418,129200291,22142485,5834950,Europe
41,Hong Kong,2883613,+85,13461,+1,2853548,+2401,16604,28,379208,1770,76127725,10011143,7604299,Asia
42,Sweden,2698535,,23703,,2671071,,3761,8,264071,2320,19477620,1906026,10218971,Europe
43,Serbia,2495185,+804,17844,+5,2462649,+812,14692,10,288360,2062,12422732,1435653,8653016,Europe
44,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965,Asia
45,Singapore,2230570,,1722,,2149583,,79265,1,375293,290,24756666,4165302,5943546,Asia
46,New Zealand,2216852,,3904,,2205354,,7594,,452585,797,7768604,1586011,4898203,Australia/Oceania
47,Hungary,2195926,,48751,,2143184,,3991,13,228593,5075,11394556,1186160,9606259,Europe
48,Bangladesh,2037829,,29445,,1998448,,9936,-,12138,175,15254399,90862,167885689,Asia
49,Slovakia,1863238,+123,21029,+3,1840999,+100,1210,20,341240,3851,7404979,1356175,5460193,Europe
50,Georgia,1825598,,16965,,1776548,,32085,,459995,4275,16920079,4263340,3968738,Asia
51,Jordan,1746997,,14122,,1731007,,1868,59,169597,1371,17201885,1669945,10300869,Asia
52,Ireland,1703850,,8691,,1692612,+486,2547,12,339399,1731,13033385,2596189,5020199,Europe
53,Pakistan,1577073,+42,30643,,1538689,,7741,8,6872,134,30570862,133213,229488994,Asia
54,Norway,1479208,+59,5213,,1473276,+17,719,20,268392,946,11002430,1996315,5511370,Europe
55,Finland,1462976,,8936,,1451930,,2110,21,263364,1609,12047792,2168835,5554960,Europe
56,Kazakhstan,1408124,+86,13846,,1383020,,11258,24,73321,721,11575012,602707,19205043,Asia
57,Slovenia,1329386,+305,7073,+1,1318085,+256,4228,8,639733,3404,2838631,1366018,2078034,Europe
58,Lithuania,1305925,+357,9593,+4,1290366,+303,5966,7,490634,3604,10381848,3900446,2661708,Europe
59,Bulgaria,1297006,+93,38219,+2,1255859,+150,2928,25,189493,5584,11061072,1616030,6844597,Europe
60,Morocco,1272477,+6,16296,,1256119,+15,62,3,33688,431,12988810,343867,37772756,Africa
61,Croatia,1268992,,17971,,1250549,,472,10,312615,4427,5503682,1355825,4059286,Europe
62,Guatemala,1237335,+249,20177,+1,1216061,+255,1097,5,66581,1086,6948424,373892,18584039,North America
63,Lebanon,1232301,+238,10835,+3,1087587,,133879,74,184342,1621,4795578,717380,6684849,Asia
64,Costa Rica,1204164,,9230,,860711,,334223,52,232358,1781,4659757,899158,5182354,North America
65,Bolivia,1193650,+232,22365,,1158540,+283,12745,220,99532,1865,2705422,225590,11992656,South America
66,Tunisia,1150962,,29331,,-,-,-,44,95542,2435,5002248,415240,12046656,Africa
67,Cuba,1112613,+4,8530,,1103992,+4,91,,98412,754,14319601,1266588,11305652,North America
68,Ecuador,1057121,,36014,,1020564,,543,759,58361,1988,3082403,170173,18113361,South America
69,UAE,1052382,+135,2349,,1035424,+59,14609,,104384,233,199288108,19767145,10081785,Asia
70,Uruguay,1034303,,7617,,1026186,,500,18,295852,2179,6114822,1749083,3496016,South America
71,Panama,1031273,,8604,,1022299,,370,16,231905,1935,7532271,1693801,4446964,North America
72,Mongolia,1007897,,2179,,1005716,+5,2,192,298364,645,4030048,1193000,3378078,Asia
73,Nepal,1001149,,12020,,989121,+1,8,,33123,398,6013947,198969,30225582,Asia
74,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Europe
75,Latvia,976095,+44,6244,+2,969510,+25,341,13,527951,3377,7865291,4254183,1848837,Europe
76,Saudi Arabia,829624,,9617,,816815,,3192,31,23145,268,45151519,1259635,35844909,Asia
77,Azerbaijan,828648,+20,10126,+4,818351,+24,171,,80450,983,7530018,731055,10300205,Asia
78,Paraguay,808401,+74,19878,+8,-,-,-,7,110651,2721,2657506,363751,7305843,South America
79,Bahrain,708532,+471,1552,+2,706013,,967,6,397163,870,10742269,6021509,1783983,Asia
80,Sri Lanka,672032,+1,16830,,655201,+1,1,,31147,780,6486117,300619,21575842,Asia
81,Kuwait,663456,,2570,,660237,,649,,151463,587,8455743,1930391,4380326,Asia
82,Dominican Republic,660705,,4384,,644785,,11536,4,59758,397,3740928,338350,11056370,North America
83,Cyprus,650685,+1592,1330,+25,644210,+1355,5145,60,531872,1087,9640118,7879860,1223387,Asia
84,Myanmar,633935,,19490,,614402,+1,43,,11479,353,10064165,182232,55227143,Asia
85,Palestine,621008,,5404,,615445,,159,17,116173,1011,3078533,575907,5345541,Asia
86,Estonia,615119,,2940,,524990,,87189,3,465326,2224,3675293,2780290,1321910,Europe
87,Moldova,607450,,11988,,504142,,91320,49,151364,2987,3216305,801437,4013171,Europe
88,Venezuela,552034,+20,5854,,545895,+4,285,36,18862,200,3359014,114771,29266991,South America
89,Egypt,515698,,24613,,442182,,48903,122,4858,232,3693367,34792,106156692,Africa
90,Libya,507174,,6437,,500734,,3,,72034,914,2483676,352758,7040745,Africa
91,China,503302,,5272,,379053,,118977,7557,347,4,160000000,110461,1448471400,Asia
92,Ethiopia,500031,+17,7572,,487287,+14,5172,1,4139,63,5492111,45460,120812698,Africa
93,Qatar,494377,,686,,493225,,466,32,165903,230,4065369,1364257,2979915,Asia
94,Réunion,486588,,921,,418572,,67095,10,535854,1014,1603660,1766027,908061,Africa
95,Honduras,472219,+103,11111,,-,-,-,105,46200,1087,1635233,159984,10221247,North America
96,Armenia,446819,,8721,,435162,,2936,,150345,2934,3242901,1091164,2971966,Asia
97,Bosnia and Herzegovina,401636,,16279,,379084,,6273,,123606,5010,1884721,580036,3249317,Europe
98,Oman,399449,,4628,,384669,,10152,2,75028,869,25000000,4695724,5323993,Asia
99,North Macedonia,346852,,9662,,337068,,122,,166651,4642,2226216,1069626,2081304,Europe
100,Zambia,343079,,4057,,338734,,288,,17621,208,3937973,202256,19470234,Africa
101,Kenya,342919,,5688,,337216,,15,1,6100,101,3967062,70569,56215221,Africa
102,Albania,334427,+19,3597,+1,329169,+17,1661,,116672,1255,1941032,677173,2866374,Europe
103,Botswana,329727,,2801,,326868,,58,1,135070,1147,2026898,830300,2441162,Africa
104,Luxembourg,297757,,1133,,288991,,7633,,463528,1764,4412567,6869188,642371,Europe
105,Montenegro,288490,+67,2805,+1,285034,+103,651,6,459416,4467,2719537,4330818,627950,Europe
106,Brunei,278698,,225,,243601,,34872,,625682,505,717784,1611437,445431,Asia
107,Algeria,271469,+6,6881,,182799,+2,81789,,5986,152,230861,5091,45350148,Africa
108,Nigeria,266598,,3155,,259917,,3526,11,1230,15,5708974,26339,216746934,Africa
109,Zimbabwe,264127,,5668,,257839,,620,12,17228,370,2525756,164744,15331428,Africa
110,Uzbekistan,251071,,1637,,241486,,7948,23,7302,48,1377915,40077,34382084,Asia
111,Mozambique,233098,,2242,,228805,,2051,11,7044,68,1371127,41437,33089461,Africa
112,Martinique,229807,,1098,,-,-,-,12,614314,2935,828928,2215870,374087,North America
113,Laos,218017,,758,,-,-,-,,29143,101,1233207,164845,7481023,Asia
114,Afghanistan,209362,+3,7896,,191170,+4,10296,45,5137,194,1201744,29487,40754388,Asia
115,Iceland,209093,,229,,-,-,-,2,605377,663,1996384,5780036,345393,Europe
116,Kyrgyzstan,206673,,2991,,196406,,7276,131,30717,445,1907195,283460,6728271,Asia
