#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
,World,680068046,128801.0,6801130.0,655.0,652820630,+149957,20446286,40475,87246.0,872.5,,,,All,28-02-2023
1.0,USA,105332164,13866.0,1145984.0,138.0,102682399,+28049,1503781,2533,314607.0,3423.0,1166932082.0,3485405.0,334805269.0,North America,28-02-2023
2.0,India,44686611,240.0,530772.0,1.0,44153504,+161,2335,-,31769.0,377.0,918679922.0,653106.0,1406631776.0,Asia,28-02-2023
3.0,France,39622231,5651.0,164963.0,34.0,39387179,+3939,70089,869,604140.0,2515.0,271490188.0,4139547.0,65584518.0,Europe,28-02-2023
4.0,Germany,38168908,24875.0,168086.0,135.0,37699200,+19800,301622,-,455022.0,2004.0,122332384.0,1458359.0,83883596.0,Europe,28-02-2023
5.0,Brazil,37052936,14706.0,699087.0,81.0,36235329,+18918,118520,-,172056.0,3246.0,63776166.0,296146.0,215353593.0,South America,28-02-2023
6.0,Japan,33205088,14524.0,72387.0,67.0,21684955,+1051,11447746,166,264404.0,576.0,95119322.0,757411.0,125584838.0,Asia,28-02-2023
7.0,S. Korea,30513721,10817.0,33977.0,16.0,30291522,+13489,188222,164,594463.0,662.0,15804065.0,307892.0,51329899.0,Asia,28-02-2023
8.0,Italy,25576852,,188094.0,,25219653,,169105,133,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,28-02-2023
9.0,UK,24341615,,206246.0,,24087869,+3539,47500,-,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,28-02-2023
10.0,Russia,22272470,9753.0,396100.0,35.0,21614852,+14365,261518,-,152754.0,2717.0,273400000.0,1875095.0,145805947.0,Europe,28-02-2023
11.0,Turkey,17042722,,101492.0,,-,-,-,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,28-02-2023
12.0,Spain,13763336,,119380.0,,13607068,,36888,231,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,28-02-2023
13.0,Vietnam,11526917,12.0,43186.0,,10614769,+6,868962,5,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,28-02-2023
14.0,Australia,11366361,,19373.0,,11314814,,32174,36,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,28-02-2023
15.0,Argentina,10044125,,130463.0,,9909866,,3796,363,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,28-02-2023
16.0,Taiwan,10043227,10120.0,17948.0,40.0,9715178,+24188,310101,,420419.0,751.0,30742304.0,1286903.0,23888595.0,Asia,28-02-2023
17.0,Netherlands,8596296,1039.0,22992.0,,8558816,+210,14488,53,499452.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,28-02-2023
18.0,Iran,7567906,82.0,144845.0,,7339365,+82,83696,288,87976.0,1684.0,55034937.0,639771.0,86022837.0,Asia,28-02-2023
19.0,Mexico,7451429,437.0,332988.0,2.0,6690914,+3210,427527,-,56638.0,2531.0,19572325.0,148768.0,131562772.0,North America,28-02-2023
20.0,Indonesia,6736046,266.0,160914.0,3.0,6571692,+235,3440,-,24132.0,576.0,114158919.0,408975.0,279134505.0,Asia,28-02-2023
21.0,Poland,6419475,3767.0,118884.0,16.0,5335940,,964651,696,170098.0,3150.0,38270606.0,1014065.0,37739785.0,Europe,28-02-2023
22.0,Colombia,6359464,,142615.0,,6182304,,34545,342,123454.0,2769.0,36951507.0,717327.0,51512762.0,South America,28-02-2023
23.0,Austria,5911746,6207.0,21895.0,5.0,5837036,+5038,52815,72,652028.0,2415.0,211273524.0,23302116.0,9066710.0,Europe,28-02-2023
24.0,Greece,5871458,2618.0,36185.0,11.0,5803381,+1598,31892,115,569125.0,3507.0,102228365.0,9909078.0,10316637.0,Europe,28-02-2023
25.0,Portugal,5568084,,26180.0,,5537790,+642,4114,61,549090.0,2582.0,45980330.0,4534294.0,10140570.0,Europe,28-02-2023
26.0,Ukraine,5389439,,111235.0,,5261929,,16275,,124778.0,2575.0,32603805.0,754855.0,43192122.0,Europe,28-02-2023
27.0,Chile,5166328,1406.0,64176.0,,5097447,+2039,4705,85,268378.0,3334.0,48438160.0,2516243.0,19250195.0,South America,28-02-2023
28.0,Malaysia,5042791,206.0,36958.0,1.0,4996585,+176,9248,7,151978.0,1114.0,68088226.0,2052020.0,33181072.0,Asia,28-02-2023
29.0,Israel,4799283,629.0,12290.0,6.0,4781252,,5741,57,514613.0,1318.0,41373364.0,4436346.0,9326000.0,Asia,28-02-2023
30.0,DPRK,4772813,,74.0,,4772739,,0,,183636.0,3.0,,,25990679.0,Asia,28-02-2023
31.0,Thailand,4728035,,33911.0,,4692636,,1488,-,67468.0,484.0,17270775.0,246450.0,70078203.0,Asia,28-02-2023
32.0,Belgium,4717655,,33717.0,,4658897,+557,25041,43,404315.0,2890.0,36709556.0,3146099.0,11668278.0,Europe,28-02-2023
33.0,Czechia,4609833,1689.0,42444.0,6.0,4558128,+912,9261,38,429350.0,3953.0,56998352.0,5308699.0,10736784.0,Europe,28-02-2023
34.0,Canada,4591149,,51249.0,,4499195,+1575,40705,99,119597.0,1335.0,66343123.0,1728207.0,38388419.0,North America,28-02-2023
35.0,Peru,4485753,69.0,219431.0,2.0,4264334,,1988,35,133171.0,6514.0,38027986.0,1128956.0,33684208.0,South America,28-02-2023
36.0,Switzerland,4391007,,14452.0,,4371249,,5306,39,500477.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,28-02-2023
37.0,Philippines,4076297,67.0,66111.0,3.0,4000971,+134,9215,162,36231.0,588.0,34593073.0,307469.0,112508994.0,Asia,28-02-2023
38.0,South Africa,4063573,336.0,102595.0,,3912506,,48472,192,66883.0,1689.0,26795090.0,441027.0,60756135.0,Africa,28-02-2023
39.0,Romania,3340342,,67704.0,,3260101,,12537,115,175518.0,3558.0,26676248.0,1401701.0,19031335.0,Europe,28-02-2023
40.0,Denmark,3175195,66.0,8265.0,10.0,3166012,+90,918,19,544168.0,1416.0,129195966.0,22141743.0,5834950.0,Europe,28-02-2023
41.0,Hong Kong,2883346,96.0,13457.0,6.0,2846874,+2271,23015,28,379173.0,1770.0,76127725.0,10011143.0,7604299.0,Asia,28-02-2023
42.0,Sweden,2698420,152.0,23703.0,,2670577,+140,4140,9,264060.0,2320.0,19469139.0,1905196.0,10218971.0,Europe,28-02-2023
43.0,Serbia,2492563,859.0,17826.0,5.0,2460909,+755,13828,16,288057.0,2060.0,12396861.0,1432664.0,8653016.0,Europe,28-02-2023
44.0,Iraq,2465545,,25375.0,,2439497,,673,21,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,28-02-2023
45.0,Singapore,2222006,,1722.0,,2149583,,70701,1,373852.0,290.0,24756666.0,4165302.0,5943546.0,Asia,28-02-2023
46.0,New Zealand,2216852,,3904.0,,2205354,,7594,,452585.0,797.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,28-02-2023
47.0,Hungary,2194969,,48745.0,,2142682,,3542,6,228494.0,5074.0,11394556.0,1186160.0,9606259.0,Europe,28-02-2023
48.0,Bangladesh,2037818,10.0,29445.0,,1998448,,9925,-,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,28-02-2023
49.0,Slovakia,1862889,110.0,21021.0,4.0,1840687,+105,1181,20,341176.0,3850.0,7402963.0,1355806.0,5460193.0,Europe,28-02-2023
50.0,Georgia,1825598,,16965.0,,1776548,,32085,,459995.0,4275.0,16920079.0,4263340.0,3968738.0,Asia,28-02-2023
51.0,Jordan,1746997,,14122.0,,1731007,,1868,59,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,28-02-2023
52.0,Ireland,1703850,,8691.0,,1692179,+115,2980,11,339399.0,1731.0,13024205.0,2594360.0,5020199.0,Europe,28-02-2023
53.0,Pakistan,1576962,23.0,30643.0,,1538689,,7630,13,6872.0,134.0,30570862.0,133213.0,229488994.0,Asia,28-02-2023
54.0,Norway,1479032,53.0,5175.0,,1473216,+13,641,20,268360.0,939.0,11002430.0,1996315.0,5511370.0,Europe,28-02-2023
55.0,Finland,1462889,91.0,8936.0,,1451778,+76,2175,21,263348.0,1609.0,12047792.0,2168835.0,5554960.0,Europe,28-02-2023
56.0,Kazakhstan,1407823,,13846.0,,1383020,,10957,24,73305.0,721.0,11575012.0,602707.0,19205043.0,Asia,28-02-2023
57.0,Slovenia,1328238,601.0,7071.0,,1317265,+379,3902,6,639180.0,3403.0,2837254.0,1365355.0,2078034.0,Europe,28-02-2023
58.0,Lithuania,1304787,655.0,9589.0,3.0,1289339,+383,5859,5,490207.0,3603.0,10376092.0,3898283.0,2661708.0,Europe,28-02-2023
59.0,Bulgaria,1296853,80.0,38217.0,1.0,1255662,+49,2974,27,189471.0,5584.0,11055587.0,1615228.0,6844597.0,Europe,28-02-2023
60.0,Morocco,1272454,8.0,16296.0,,1256091,+8,67,3,33687.0,431.0,12983320.0,343722.0,37772756.0,Africa,28-02-2023
61.0,Croatia,1268992,,17971.0,,1250549,,472,10,312615.0,4427.0,5503682.0,1355825.0,4059286.0,Europe,28-02-2023
62.0,Guatemala,1236406,410.0,20173.0,4.0,1215077,+420,1156,5,66531.0,1086.0,6925325.0,372649.0,18584039.0,North America,28-02-2023
63.0,Lebanon,1231840,,10828.0,,1087587,,133425,74,184273.0,1620.0,4795578.0,717380.0,6684849.0,Asia,28-02-2023
64.0,Costa Rica,1199055,,9214.0,,860711,,329130,52,231373.0,1778.0,4659757.0,899158.0,5182354.0,North America,28-02-2023
65.0,Bolivia,1193009,76.0,22365.0,,1157640,+322,13004,220,99478.0,1865.0,2705422.0,225590.0,11992656.0,South America,28-02-2023
66.0,Tunisia,1150962,169.0,29331.0,1.0,-,-,-,44,95542.0,2435.0,5002248.0,415240.0,12046656.0,Africa,28-02-2023
67.0,Cuba,1112598,5.0,8530.0,,1103977,+6,91,,98411.0,754.0,14317478.0,1266400.0,11305652.0,North America,28-02-2023
68.0,Ecuador,1056578,,36008.0,,1020570,,0,759,58331.0,1988.0,3082403.0,170173.0,18113361.0,South America,28-02-2023
69.0,UAE,1051998,68.0,2349.0,,1035173,+99,14476,,104346.0,233.0,199223391.0,19760726.0,10081785.0,Asia,28-02-2023
70.0,Uruguay,1034303,,7617.0,,1026186,,500,18,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,28-02-2023
71.0,Panama,1031273,,8604.0,,1022299,,370,16,231905.0,1935.0,7532271.0,1693801.0,4446964.0,North America,28-02-2023
72.0,Mongolia,1007896,,2179.0,,1005711,+2,6,192,298364.0,645.0,4030048.0,1193000.0,3378078.0,Asia,28-02-2023
73.0,Nepal,1001145,2.0,12020.0,,989117,+2,8,,33122.0,398.0,6013280.0,198947.0,30225582.0,Asia,28-02-2023
74.0,Belarus,994037,,7118.0,,985592,,1327,,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,28-02-2023
75.0,Latvia,975999,22.0,6241.0,2.0,969435,+33,323,13,527899.0,3376.0,7864578.0,4253797.0,1848837.0,Europe,28-02-2023
76.0,Saudi Arabia,829478,90.0,9615.0,,816729,+44,3134,34,23141.0,268.0,45144125.0,1259429.0,35844909.0,Asia,28-02-2023
77.0,Azerbaijan,828548,36.0,10119.0,2.0,818281,+43,148,,80440.0,982.0,7524850.0,730553.0,10300205.0,Asia,28-02-2023
78.0,Paraguay,808327,,19870.0,,-,-,-,7,110641.0,2720.0,2657506.0,363751.0,7305843.0,South America,28-02-2023
79.0,Bahrain,707480,375.0,1548.0,,706013,,-81,6,396573.0,868.0,10737695.0,6018945.0,1783983.0,Asia,28-02-2023
80.0,Sri Lanka,672030,1.0,16830.0,,655198,+1,2,,31147.0,780.0,6486117.0,300619.0,21575842.0,Asia,28-02-2023
81.0,Kuwait,663456,,2570.0,,660237,,649,,151463.0,587.0,8455743.0,1930391.0,4380326.0,Asia,28-02-2023
82.0,Dominican Republic,660533,,4384.0,,644785,,11364,4,59742.0,397.0,3740928.0,338350.0,11056370.0,North America,28-02-2023
83.0,Cyprus,649093,,1305.0,,642855,,4933,60,530570.0,1067.0,9640118.0,7879860.0,1223387.0,Asia,28-02-2023
84.0,Myanmar,633918,4.0,19490.0,,614399,+1,29,,11478.0,353.0,10053350.0,182036.0,55227143.0,Asia,28-02-2023
85.0,Palestine,621008,,5404.0,,615445,,159,17,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,28-02-2023
86.0,Estonia,615119,271.0,2940.0,6.0,524990,,87189,3,465326.0,2224.0,3675293.0,2780290.0,1321910.0,Europe,28-02-2023
87.0,Moldova,603750,,11974.0,,504142,,87634,49,150442.0,2984.0,3216305.0,801437.0,4013171.0,Europe,28-02-2023
88.0,Venezuela,551981,,5853.0,,545871,,257,36,18860.0,200.0,3359014.0,114771.0,29266991.0,South America,28-02-2023
89.0,Egypt,515698,,24613.0,,442182,,48903,122,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,28-02-2023
90.0,Libya,507174,,6437.0,,500734,,3,,72034.0,914.0,2483676.0,352758.0,7040745.0,Africa,28-02-2023
91.0,China,503302,,5272.0,,379053,,118977,7557,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,28-02-2023
92.0,Ethiopia,499986,12.0,7572.0,,487246,+10,5168,1,4139.0,63.0,5488633.0,45431.0,120812698.0,Africa,28-02-2023
93.0,Qatar,494167,111.0,686.0,,493016,,465,28,165833.0,230.0,4065369.0,1364257.0,2979915.0,Asia,28-02-2023
