#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
,World,681301970,+53641,6810359,+209,654192815,+71547,20298796,40381,87405,873.7,,,,All
1,USA,105547760,,1148391,,103083830,,1315539,2389,315251,3430,1168472344,3490006,334805269,North America
2,India,44689512,,530779,,44155439,,3294,-,31771,377,919414382,653628,1406631776,Asia
3,France,39639112,,165073,,39416984,+3589,57055,869,604397,2517,271490188,4139547,65584518,Europe
4,Germany,38249060,,168935,,37839100,+15900,241025,-,455978,2014,122332384,1458359,83883596,Europe
5,Brazil,37085520,,699310,,36249161,,137049,-,172208,3247,63776166,296146,215353593,South America
6,Japan,33307409,+9113,73038,+49,21699006,+1263,11535365,116,265218,582,96082498,765080,125584838,Asia
7,S. Korea,30615522,+10335,34093,+12,30399814,+4304,181615,146,596446,664,15804065,307892,51329899,Asia
8,Italy,25603510,,188322,,25267118,,148070,137,424864,3125,268196399,4450449,60262770,Europe
9,UK,24396534,,207695,,24119403,,69436,-,356165,3032,522526476,7628357,68497907,Europe
10,Russia,22398867,+10311,396507,+44,21744431,+14663,257929,-,153621,2719,273400000,1875095,145805947,Europe
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976,Asia
12,Spain,13770429,,119479,,13615878,,35072,231,294749,2557,471036328,10082298,46719142,Europe
13,Vietnam,11527026,+14,43186,,10614815,+6,869025,1,116489,436,85826548,867342,98953541,Asia
14,Australia,11385534,,19459,,11332576,,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10152881,+9098,18425,+54,9890910,+14958,243546,,425010,771,30742304,1286903,23888595,Asia
16,Argentina,10044957,,130472,,9911664,,2821,363,218320,2836,35716069,776264,46010234,South America
17,Netherlands,8600120,,22992,,8562033,+671,15095,53,499674,1336,25984435,1509718,17211447,Europe
18,Iran,7572759,+448,144941,+8,7340183,+96,87635,398,88032,1685,55353767,643478,86022837,Asia
19,Mexico,7483444,+3809,333188,+18,6718939,+2322,431317,-,56881,2533,19642771,149303,131562772,North America
20,Indonesia,6738225,,160941,,6574177,,3107,-,24140,577,114158919,408975,279134505,Asia
21,Poland,6448577,+3621,119016,+6,5335940,,993621,696,170869,3154,38356140,1016332,37739785,Europe
22,Colombia,6360780,,142639,,6184346,,33795,342,123480,2769,36951507,717327,51512762,South America
23,Austria,5966051,+4702,21977,,5887729,+2829,56345,72,658017,2424,211273524,23302116,9066710,Europe
24,Greece,5896788,,36283,,5830036,+5237,30469,115,571580,3517,102228365,9909078,10316637,Europe
25,Portugal,5570473,,26266,,5538659,,5548,61,549325,2590,45994869,4535728,10140570,Europe
26,Ukraine,5399231,,111298,,5270797,,17136,,125005,2577,32603805,754855,43192122,Europe
27,Chile,5192286,,64273,,5119229,,8784,84,269726,3339,48573326,2523264,19250195,South America
28,Malaysia,5044718,,36967,,4998455,,9296,5,152036,1114,68286795,2058004,33181072,Asia
