#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
,World,680435559,+116379,6804034,+722,653196676,+141037,20434849,40475,87294,872.9,,,,All
1,USA,105384017,+10500,1146630,+130,102790152,+42067,1447235,2561,314762,3425,1167463368,3486992,334805269,North America
2,India,44687162,+283,530772,,44153865,+197,2525,-,31769,377,918891634,653257,1406631776,Asia
3,France,39630952,+4196,165009,+21,39394139,+3341,71804,869,604273,2516,271490188,4139547,65584518,Europe
4,Germany,38202571,+12617,168296,+121,37729600,+13900,304675,-,455424,2006,122332384,1458359,83883596,Europe
5,Brazil,37066791,+3327,699230,+33,36241001,,126560,-,172121,3247,63776166,296146,215353593,South America
6,Japan,33230544,+11506,72573,+87,21687770,+2053,11470201,141,264606,578,95386077,759535,125584838,Asia
7,S. Korea,30533573,+7561,34003,+15,30316211,+12040,183359,129,594850,662,15804065,307892,51329899,Asia
8,Italy,25603510,+3497,188322,+28,25267118,+3435,148070,137,424864,3125,268196399,4450449,60262770,Europe
9,UK,24370154,,206952,,24094535,+3210,68667,-,355780,3021,522526476,7628357,68497907,Europe
10,Russia,22300004,+14096,396176,+39,21645346,+13937,258482,-,152943,2717,273400000,1875095,145805947,Europe
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976,Asia
12,Spain,13769414,+1013,119464,+14,13614600,+1279,35350,231,294727,2557,471036328,10082298,46719142,Europe
13,Vietnam,11526937,+11,43186,,10614783,+6,868968,4,116488,436,85826548,867342,98953541,Asia
14,Australia,11382795,+2739,19447,+13,11330039,+2538,33309,36,436645,746,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10069538,+14102,18010,+35,9755633,+19583,295895,,421521,754,30742304,1286903,23888595,Asia
16,Argentina,10044125,,130463,,9909866,,3796,363,218302,2836,35716069,776264,46010234,South America
17,Netherlands,8597625,+619,22992,,8559002,+186,15631,53,499529,1336,25984435,1509718,17211447,Europe
18,Iran,7569261,+358,144864,+6,7339518,+61,84879,312,87991,1684,55034937,639771,86022837,Asia
19,Mexico,7459860,+8431,333038,+50,6696871,+5957,429951,-,56702,2531,19572325,148768,131562772,North America
20,Indonesia,6736576,+278,160920,+4,6572098,+253,3558,-,24134,576,114158919,408975,279134505,Asia
21,Poland,6425492,+3028,118924,+26,5335940,,970628,696,170258,3151,38288150,1014530,37739785,Europe
22,Colombia,6360089,,142629,,6183658,,33802,342,123466,2769,36951507,717327,51512762,South America
23,Austria,5926309,+6387,21906,+8,5845834,+3489,58569,81,653634,2416,211273524,23302116,9066710,Europe
24,Greece,5871458,,36185,,5806578,+1598,28695,115,569125,3507,102228365,9909078,10316637,Europe
25,Portugal,5568084,,26180,,5537727,,4177,61,549090,2582,45980330,4534294,10140570,Europe
26,Ukraine,5389439,,111235,,5265637,,12567,,124778,2575,32603805,754855,43192122,Europe
27,Chile,5172090,+2951,64197,+20,5101501,+1963,6392,82,268677,3335,48470891,2517943,19250195,South America
28,Malaysia,5043252,+244,36965,+5,4996818,,9469,7,151992,1114,68217426,2055914,33181072,Asia
29,Israel,4800397,+757,12303,+11,4781252,,6842,57,514733,1319,41373364,4436346,9326000,Asia
30,DPRK,4772813,,74,,4772739,,0,,183636,3,,,25990679,Asia
31,Thailand,4728035,,33911,,4692636,,1488,-,67468,484,17270775,246450,70078203,Asia
32,Belgium,4727795,+1449,33775,+8,4660013,+558,34007,43,405184,2895,36752058,3149741,11668278,Europe
33,Czechia,4611993,+987,42452,+6,4558489,+181,11052,36,429551,3954,57008620,5309655,10736784,Europe
34,Canada,4591149,,51249,,4502066,+1530,37834,99,119597,1335,66343123,1728207,38388419,North America
35,Peru,4486282,+248,219448,+9,4264923,+325,1911,36,133187,6515,38053752,1129721,33684208,South America
36,Switzerland,4391007,,14452,,4373026,+1777,3529,39,500477,1647,23833472,2716487,8773637,Europe
37,Philippines,4076562,+158,66126,+8,4001136,+66,9300,162,36233,588,34611586,307634,112508994,Asia
38,South Africa,4064457,+594,102595,,3912506,,49356,192,66898,1689,26795090,441027,60756135,Africa
