#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
,World,680880591,+91685,6806841,+490,653823717,+176421,20250033,40529,87351,873.3,,,,All
1,USA,105441949,+7715,1147217,+92,102974679,+76309,1320053,2567,314935,3427,1167935950,3488404,334805269,North America
2,India,44688693,+326,530775,,44154842,+220,3076,-,31770,377,919314929,653558,1406631776,Asia
3,France,39639112,,165073,,39405402,,68637,869,604397,2517,271490188,4139547,65584518,Europe
4,Germany,38231610,+9947,168709,+126,37788200,+20900,274701,-,455770,2011,122332384,1458359,83883596,Europe
5,Brazil,37076053,,699276,,36249161,,127616,-,172164,3247,63776166,296146,215353593,South America
6,Japan,33276657,+12014,72840,+35,21695714,+828,11508103,124,264974,580,95732132,762291,125584838,Asia
7,S. Korea,30581499,+12284,34049,+15,30374622,+11427,172828,158,595783,663,15804065,307892,51329899,Asia
8,Italy,25603510,,188322,,25267118,,148070,137,424864,3125,268196399,4450449,60262770,Europe
9,UK,24370154,,206952,,24109922,+3690,53280,-,355780,3021,522526476,7628357,68497907,Europe
10,Russia,22363740,+10449,396378,+42,21700795,+14373,266567,-,153380,2719,273400000,1875095,145805947,Europe
11,Turkey,17042722,,101492,,-,-,-,,199186,1186,162743369,1902052,85561976,Asia
12,Spain,13770429,,119479,,13615878,,35072,231,294749,2557,471036328,10082298,46719142,Europe
13,Vietnam,11526986,+20,43186,,10614802,+12,868998,3,116489,436,85826548,867342,98953541,Asia
14,Australia,11385534,,19459,,11332576,,33499,27,436750,746,78835048,3024116,26068792,Australia/Oceania
15,Taiwan,10123157,+11038,18282,+34,9843853,+19809,261022,,423765,765,30742304,1286903,23888595,Asia
16,Argentina,10044125,,130463,,9911673,+1807,1989,363,218302,2836,35716069,776264,46010234,South America
17,Netherlands,8600120,+1154,22992,,8561110,+433,16018,53,499674,1336,25984435,1509718,17211447,Europe
18,Iran,7571352,+609,144907,+5,7339869,+73,86576,354,88016,1685,55353767,643478,86022837,Asia
19,Mexico,7475219,+4566,333136,+36,6713635,+6864,428448,-,56819,2532,19572325,148768,131562772,North America
20,Indonesia,6737606,+303,160934,+2,6573749,+346,2923,-,24137,577,114158919,408975,279134505,Asia
21,Poland,6437598,+4833,118970,+18,5335940,,982688,696,170579,3152,38325163,1015511,37739785,Europe
22,Colombia,6360089,,142629,,6183658,,33802,342,123466,2769,36951507,717327,51512762,South America
