"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
World,680261711,143685.0,6802334.0,767.0,653004808.0,173193.0,20454569.0,87271.0,872.7,0.0,0.0,0.0,All,01-03-2023
USA,105373517,18136.0,1146500.0,207.0,102748085.0,64851.0,1478932.0,314731.0,3424.0,1167210022.0,3486236.0,334805269.0,North America,01-03-2023
India,44686879,268.0,530772.0,0.0,44153668.0,164.0,2439.0,31769.0,377.0,918794368.0,653188.0,1406631776.0,Asia,01-03-2023
France,39626756,4525.0,164988.0,25.0,39390798.0,3619.0,70970.0,604209.0,2516.0,271490188.0,4139547.0,65584518.0,Europe,01-03-2023
Germany,38189954,21046.0,168175.0,89.0,37715700.0,16500.0,306079.0,455273.0,2005.0,122332384.0,1458359.0,83883596.0,Europe,01-03-2023
Brazil,37063464,10528.0,699197.0,110.0,36241001.0,5672.0,123266.0,172105.0,3247.0,63776166.0,296146.0,215353593.0,South America,01-03-2023
Japan,33219038,13950.0,72486.0,99.0,21685717.0,762.0,11460835.0,264515.0,577.0,95253685.0,758481.0,125584838.0,Asia,01-03-2023
S. Korea,30526012,12291.0,33988.0,11.0,30304171.0,12649.0,187853.0,594702.0,662.0,15804065.0,307892.0,51329899.0,Asia,01-03-2023
Italy,25576852,0.0,188094.0,0.0,25219653.0,0.0,169105.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,01-03-2023
UK,24341615,0.0,206246.0,0.0,24091325.0,3456.0,44044.0,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,01-03-2023
Russia,22285908,13438.0,396137.0,37.0,21631409.0,16557.0,258362.0,152846.0,2717.0,273400000.0,1875095.0,145805947.0,Europe,01-03-2023
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,01-03-2023
Spain,13763336,0.0,119380.0,0.0,13607068.0,0.0,36888.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,01-03-2023
Vietnam,11526926,9.0,43186.0,0.0,10614777.0,8.0,868963.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,01-03-2023
Australia,11380056,2739.0,19434.0,12.0,11327501.0,2537.0,33121.0,436539.0,745.0,78835048.0,3024116.0,26068792.0,Australia/Oceania,01-03-2023
Taiwan,10055436,12209.0,17975.0,27.0,9736050.0,20872.0,301411.0,420930.0,752.0,30742304.0,1286903.0,23888595.0,Asia,01-03-2023
Argentina,10044125,0.0,130463.0,0.0,9909866.0,0.0,3796.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America,01-03-2023
Netherlands,8596296,0.0,22992.0,0.0,8558816.0,0.0,14488.0,499452.0,1336.0,25984435.0,1509718.0,17211447.0,Europe,01-03-2023
Iran,7568903,997.0,144858.0,13.0,7339457.0,92.0,84588.0,87987.0,1684.0,55034937.0,639771.0,86022837.0,Asia,01-03-2023
Mexico,7451429,0.0,332988.0,0.0,6690914.0,0.0,427527.0,56638.0,2531.0,19572325.0,148768.0,131562772.0,North America,01-03-2023
Indonesia,6736298,252.0,160916.0,2.0,6571845.0,153.0,3537.0,24133.0,576.0,114158919.0,408975.0,279134505.0,Asia,01-03-2023
Poland,6422464,2989.0,118898.0,14.0,5335940.0,0.0,967626.0,170178.0,3150.0,38279634.0,1014305.0,37739785.0,Europe,01-03-2023
Colombia,6360089,625.0,142629.0,14.0,6183658.0,1354.0,33802.0,123466.0,2769.0,36951507.0,717327.0,51512762.0,South America,01-03-2023
Austria,5919931,8185.0,21897.0,2.0,5841778.0,4742.0,56256.0,652930.0,2415.0,211273524.0,23302116.0,9066710.0,Europe,01-03-2023
Greece,5871458,0.0,36185.0,0.0,5804980.0,1599.0,30293.0,569125.0,3507.0,102228365.0,9909078.0,10316637.0,Europe,01-03-2023
Portugal,5568084,0.0,26180.0,0.0,5537790.0,0.0,4114.0,549090.0,2582.0,45980330.0,4534294.0,10140570.0,Europe,01-03-2023
Ukraine,5389439,0.0,111235.0,0.0,5265637.0,3708.0,12567.0,124778.0,2575.0,32603805.0,754855.0,43192122.0,Europe,01-03-2023
Chile,5169139,2811.0,64177.0,1.0,5099538.0,2091.0,5424.0,268524.0,3334.0,48454162.0,2517074.0,19250195.0,South America,01-03-2023
Malaysia,5043008,217.0,36960.0,2.0,4996818.0,233.0,9230.0,151984.0,1114.0,68198303.0,2055338.0,33181072.0,Asia,01-03-2023
