"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
World,679742246,75320.0,6798870.0,293.0,652511464.0,104182.0,20431912.0,87205.0,872.2,0.0,0.0,0.0,All
USA,105260507,5336.0,1145365.0,19.0,102620644.0,15634.0,1494498.0,314393.0,3421.0,1166749212.0,3484859.0,334805269.0,North America
India,44686202,185.0,530770.0,1.0,44153203.0,104.0,2229.0,31768.0,377.0,918535118.0,653003.0,1406631776.0,Asia
France,39615739,2942.0,164877.0,0.0,39378241.0,718.0,72621.0,604041.0,2514.0,271490188.0,4139547.0,65584518.0,Europe
Germany,38111063,0.0,167812.0,0.0,37661500.0,2900.0,281751.0,454333.0,2001.0,122332384.0,1458359.0,83883596.0,Europe
Brazil,37024417,952.0,698947.0,14.0,36185975.0,0.0,139495.0,171924.0,3246.0,63776166.0,296146.0,215353593.0,South America
Japan,33184966,12399.0,72268.0,62.0,21682369.0,1565.0,11430329.0,264243.0,575.0,94989804.0,756380.0,125584838.0,Asia
S. Korea,30498878,9212.0,33946.0,6.0,30278039.0,32587.0,186893.0,594174.0,661.0,15804065.0,307892.0,51329899.0,Asia
Italy,25576852,0.0,188094.0,0.0,25219653.0,0.0,169105.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe
UK,24341615,0.0,206246.0,0.0,24080781.0,2450.0,54588.0,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe
Russia,22253137,9574.0,396035.0,31.0,21591237.0,9774.0,265865.0,152622.0,2716.0,273400000.0,1875095.0,145805947.0,Europe
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
Spain,13763336,0.0,119380.0,0.0,13607068.0,0.0,36888.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe
Vietnam,11526901,10.0,43186.0,0.0,10614760.0,1.0,868955.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia
Australia,11366361,0.0,19373.0,0.0,11314814.0,0.0,32174.0,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
Argentina,10044125,817.0,130463.0,5.0,9908958.0,456.0,4704.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America
Taiwan,10025363,13087.0,17864.0,46.0,9667651.0,16572.0,339848.0,419672.0,748.0,30742304.0,1286903.0,23888595.0,Asia
