"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Peru,4487553,287.0,219539.0,1.0,4265634.0,244.0,2380.0,133224.0,6518.0,38122323.0,1131757.0,33684208.0,South America,09-03-2023
Switzerland,4392464,0.0,14452.0,0.0,4373995.0,0.0,4017.0,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe,09-03-2023
Philippines,4077441,151.0,66188.0,12.0,4002247.0,64.0,9006.0,36241.0,588.0,34667870.0,308134.0,112508994.0,Asia,09-03-2023
South Africa,4067067,426.0,102595.0,0.0,3912506.0,0.0,51966.0,66941.0,1689.0,26795090.0,441027.0,60756135.0,Africa,09-03-2023
Romania,3346046,0.0,67736.0,0.0,3267395.0,0.0,10915.0,175818.0,3559.0,26750616.0,1405609.0,19031335.0,Europe,09-03-2023
Denmark,3175822,84.0,8296.0,4.0,3166615.0,79.0,911.0,544276.0,1422.0,129207898.0,22143788.0,5834950.0,Europe,09-03-2023
Hong Kong,2883851,50.0,13467.0,1.0,2863814.0,455.0,6570.0,379240.0,1771.0,76127725.0,10011143.0,7604299.0,Asia,09-03-2023
Sweden,2699339,0.0,23749.0,0.0,2672273.0,315.0,3317.0,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe,09-03-2023
Serbia,2500142,873.0,17881.0,6.0,2466980.0,579.0,15281.0,288933.0,2066.0,12467638.0,1440843.0,8653016.0,Europe,09-03-2023
Iraq,2465545,0.0,25375.0,0.0,2439497.0,0.0,673.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia,09-03-2023
Singapore,2230570,0.0,1722.0,0.0,2149583.0,0.0,79265.0,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia,09-03-2023
New Zealand,2228291,0.0,3922.0,0.0,2214316.0,0.0,10053.0,454920.0,801.0,7768604.0,1586011.0,4898203.0,Australia/Oceania,09-03-2023
Hungary,2196804,0.0,48762.0,0.0,2143788.0,0.0,4254.0,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe,09-03-2023
Bangladesh,2037871,0.0,29445.0,0.0,1998448.0,0.0,9978.0,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia,09-03-2023
Slovakia,1863865,116.0,21035.0,2.0,1841462.0,98.0,1368.0,341355.0,3852.0,7408131.0,1356753.0,5460193.0,Europe,09-03-2023
Georgia,1827537,0.0,16971.0,0.0,1776548.0,0.0,34018.0,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia,09-03-2023
Jordan,1746997,0.0,14122.0,0.0,1731007.0,0.0,1868.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia,09-03-2023
Ireland,1704502,0.0,8708.0,0.0,1693155.0,282.0,2639.0,339529.0,1735.0,13040649.0,2597636.0,5020199.0,Europe,09-03-2023
Pakistan,1577339,50.0,30644.0,0.0,1538689.0,0.0,8006.0,6873.0,134.0,30570862.0,133213.0,229488994.0,Asia,09-03-2023
Norway,1479506,53.0,5213.0,0.0,1473506.0,47.0,787.0,268446.0,946.0,11002430.0,1996315.0,5511370.0,Europe,09-03-2023
Finland,1463644,0.0,8967.0,0.0,1452510.0,113.0,2167.0,263484.0,1614.0,12057338.0,2170554.0,5554960.0,Europe,09-03-2023
Kazakhstan,1408124,0.0,13846.0,0.0,1383020.0,0.0,11258.0,73321.0,721.0,11575012.0,602707.0,19205043.0,Asia,09-03-2023
Slovenia,1331709,508.0,7077.0,0.0,1319340.0,0.0,5292.0,640850.0,3406.0,2840789.0,1367056.0,2078034.0,Europe,09-03-2023
Lithuania,1307825,377.0,9596.0,0.0,1291847.0,52.0,6382.0,491348.0,3605.0,10387153.0,3902439.0,2661708.0,Europe,09-03-2023
Bulgaria,1297523,72.0,38228.0,3.0,1256281.0,76.0,3014.0,189569.0,5585.0,11074571.0,1618002.0,6844597.0,Europe,09-03-2023
Morocco,1272490,0.0,16296.0,0.0,1256151.0,0.0,43.0,33688.0,431.0,12992640.0,343969.0,37772756.0,Africa,09-03-2023
Croatia,1269326,0.0,17987.0,0.0,1250890.0,0.0,449.0,312697.0,4431.0,5521987.0,1360335.0,4059286.0,Europe,09-03-2023
Guatemala,1238049,0.0,20182.0,0.0,1216847.0,0.0,1020.0,66619.0,1086.0,6971176.0,375116.0,18584039.0,North America,09-03-2023
Lebanon,1232828,179.0,10841.0,1.0,1087587.0,0.0,134400.0,184421.0,1622.0,4795578.0,717380.0,6684849.0,Asia,09-03-2023
Costa Rica,1209725,0.0,9245.0,0.0,860711.0,0.0,339769.0,233432.0,1784.0,4659757.0,899158.0,5182354.0,North America,09-03-2023
Bolivia,1194277,90.0,22365.0,0.0,1160475.0,286.0,11437.0,99584.0,1865.0,2705422.0,225590.0,11992656.0,South America,09-03-2023
Tunisia,1151126,0.0,29341.0,0.0,,,,95556.0,2436.0,5003083.0,415309.0,12046656.0,Africa,09-03-2023
Cuba,1112643,6.0,8530.0,0.0,1104033.0,9.0,80.0,98415.0,754.0,14321589.0,1266764.0,11305652.0,North America,09-03-2023
Ecuador,1057121,0.0,36014.0,0.0,1020564.0,0.0,543.0,58361.0,1988.0,3082403.0,170173.0,18113361.0,South America,09-03-2023
UAE,1053213,145.0,2349.0,0.0,1035930.0,96.0,14934.0,104467.0,233.0,199406137.0,19778852.0,10081785.0,Asia,09-03-2023
Uruguay,1034303,0.0,7617.0,0.0,1026186.0,0.0,500.0,295852.0,2179.0,6114822.0,1749083.0,3496016.0,South America,09-03-2023
Panama,1031731,0.0,8609.0,0.0,1022524.0,0.0,598.0,232008.0,1936.0,7548346.0,1697416.0,4446964.0,North America,09-03-2023
Mongolia,1007900,0.0,2179.0,0.0,1005717.0,0.0,4.0,298365.0,645.0,4030048.0,1193000.0,3378078.0,Asia,09-03-2023
Nepal,1001154,4.0,12020.0,0.0,989128.0,2.0,6.0,33123.0,398.0,6014737.0,198995.0,30225582.0,Asia,09-03-2023
Belarus,994037,0.0,7118.0,0.0,985592.0,0.0,1327.0,105381.0,755.0,13646641.0,1446722.0,9432800.0,Europe,09-03-2023
