"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
World,680788906,64785.0,6806351.0,552.0,653647296.0,117898.0,20335259.0,87339.0,873.2,0.0,0.0,0.0,All,06-03-2023
USA,105434234,5404.0,1147125.0,36.0,102898370.0,33674.0,1388739.0,314912.0,3426.0,1167729364.0,3487787.0,334805269.0,North America,06-03-2023
India,44688367,266.0,530775.0,0.0,44154622.0,197.0,2970.0,31770.0,377.0,919232902.0,653499.0,1406631776.0,Asia,06-03-2023
France,39639112,953.0,165073.0,43.0,39405445.0,5692.0,68594.0,604397.0,2517.0,271490188.0,4139547.0,65584518.0,Europe,06-03-2023
Germany,38221663,10813.0,168583.0,186.0,37767300.0,17500.0,285780.0,455651.0,2010.0,122332384.0,1458359.0,83883596.0,Europe,06-03-2023
Brazil,37076053,0.0,699276.0,0.0,36249161.0,0.0,127616.0,172164.0,3247.0,63776166.0,296146.0,215353593.0,South America,06-03-2023
Japan,33264643,4415.0,72805.0,34.0,21694886.0,1551.0,11496952.0,264878.0,580.0,95651487.0,761648.0,125584838.0,Asia,06-03-2023
S. Korea,30569215,4300.0,34034.0,9.0,30363195.0,0.0,171986.0,595544.0,663.0,15804065.0,307892.0,51329899.0,Asia,06-03-2023
Italy,25603510,0.0,188322.0,0.0,25267118.0,0.0,148070.0,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe,06-03-2023
UK,24370154,0.0,206952.0,0.0,24106232.0,3964.0,56970.0,355780.0,3021.0,522526476.0,7628357.0,68497907.0,Europe,06-03-2023
Russia,22353291,11163.0,396336.0,38.0,21686422.0,9166.0,270533.0,153308.0,2718.0,273400000.0,1875095.0,145805947.0,Europe,06-03-2023
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,06-03-2023
Spain,13770429,0.0,119479.0,0.0,13615878.0,0.0,35072.0,294749.0,2557.0,471036328.0,10082298.0,46719142.0,Europe,06-03-2023
