"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
World,679865129,112273.0,6799716.0,705.0,652669816.0,157321.0,20395597.0,87220.0,872.3,0.0,0.0,0.0,All,27-02-2023
USA,105276823,6894.0,1145556.0,70.0,102654350.0,33706.0,1476917.0,314442.0,3422.0,1166805671.0,3485028.0,334805269.0,North America,27-02-2023
India,44686371,169.0,530771.0,1.0,44153343.0,140.0,2257.0,31768.0,377.0,918535118.0,653003.0,1406631776.0,Asia,27-02-2023
France,39616580,841.0,164929.0,52.0,39383240.0,4999.0,68411.0,604054.0,2515.0,271490188.0,4139547.0,65584518.0,Europe,27-02-2023
Germany,38144033,32970.0,167951.0,139.0,37679400.0,17900.0,296682.0,454726.0,2002.0,122332384.0,1458359.0,83883596.0,Europe,27-02-2023
Brazil,37038230,13813.0,699006.0,59.0,36216411.0,30436.0,122813.0,171988.0,3246.0,63776166.0,296146.0,215353593.0,South America,27-02-2023
Japan,33190564,5598.0,72320.0,52.0,21683904.0,1535.0,11434340.0,264288.0,576.0,95014492.0,756576.0,125584838.0,Asia,27-02-2023
S. Korea,30502904,4026.0,33961.0,15.0,30278033.0,0.0,190910.0,594252.0,662.0,15804065.0,307892.0,51329899.0,Asia,27-02-2023
Italy,25576852,0.0,188094.0,0.0,25219653.0,0.0,169105.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe,27-02-2023
UK,24341615,0.0,206246.0,0.0,24084330.0,3549.0,51039.0,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe,27-02-2023
Russia,22262717,9580.0,396065.0,30.0,21600487.0,9250.0,266165.0,152687.0,2716.0,273400000.0,1875095.0,145805947.0,Europe,27-02-2023
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia,27-02-2023
Spain,13763336,0.0,119380.0,0.0,13607068.0,0.0,36888.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe,27-02-2023
Vietnam,11526905,4.0,43186.0,0.0,10614763.0,3.0,868956.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia,27-02-2023
