"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
World,679905647,52645.0,6799766.0,231.0,652753045.0,85387.0,20352836.0,87226.0,872.3,0.0,0.0,0.0,All
USA,105266332,0.0,1145415.0,0.0,102654350.0,0.0,1466567.0,314411.0,3421.0,1166805671.0,3485028.0,334805269.0,North America
India,44686371,0.0,530771.0,0.0,44153343.0,0.0,2257.0,31768.0,377.0,918679922.0,653106.0,1406631776.0,Asia
France,39616580,0.0,164929.0,0.0,39383188.0,0.0,68463.0,604054.0,2515.0,271490188.0,4139547.0,65584518.0,Europe
Germany,38144033,0.0,167951.0,0.0,37699200.0,19800.0,276882.0,454726.0,2002.0,122332384.0,1458359.0,83883596.0,Europe
Brazil,37038230,0.0,699006.0,0.0,36216411.0,0.0,122813.0,171988.0,3246.0,63776166.0,296146.0,215353593.0,South America
Japan,33205088,14524.0,72387.0,67.0,21684955.0,1051.0,11447746.0,264404.0,576.0,95119322.0,757411.0,125584838.0,Asia
S. Korea,30513721,10817.0,33977.0,16.0,30291522.0,13489.0,188222.0,594463.0,662.0,15804065.0,307892.0,51329899.0,Asia
Italy,25576852,0.0,188094.0,0.0,25219653.0,0.0,169105.0,424422.0,3121.0,267663187.0,4441601.0,60262770.0,Europe
UK,24341615,0.0,206246.0,0.0,24087869.0,3539.0,47500.0,355363.0,3011.0,522526476.0,7628357.0,68497907.0,Europe
Russia,22272470,9753.0,396100.0,35.0,21614852.0,14365.0,261518.0,152754.0,2717.0,273400000.0,1875095.0,145805947.0,Europe
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
Spain,13763336,0.0,119380.0,0.0,13607068.0,0.0,36888.0,294597.0,2555.0,471036328.0,10082298.0,46719142.0,Europe
Vietnam,11526917,12.0,43186.0,0.0,10614769.0,6.0,868962.0,116488.0,436.0,85826548.0,867342.0,98953541.0,Asia
Australia,11366361,0.0,19373.0,0.0,11314814.0,0.0,32174.0,436014.0,743.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
Argentina,10044125,0.0,130463.0,0.0,9909866.0,0.0,3796.0,218302.0,2836.0,35716069.0,776264.0,46010234.0,South America
Taiwan,10043227,10120.0,17948.0,40.0,9715178.0,24188.0,310101.0,420419.0,751.0,30742304.0,1286903.0,23888595.0,Asia
Netherlands,8594150,0.0,22992.0,0.0,8558606.0,0.0,12552.0,499328.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
Iran,7567824,0.0,144845.0,0.0,7339283.0,0.0,83696.0,87975.0,1684.0,55034937.0,639771.0,86022837.0,Asia
Mexico,7450992,0.0,332986.0,0.0,6687704.0,0.0,430302.0,56635.0,2531.0,19571192.0,148759.0,131562772.0,North America
Indonesia,6735780,0.0,160911.0,0.0,6571457.0,0.0,3412.0,24131.0,576.0,114158919.0,408975.0,279134505.0,Asia
Poland,6419480,3772.0,118884.0,16.0,5335940.0,0.0,964656.0,170098.0,3150.0,38270606.0,1014065.0,37739785.0,Europe
Colombia,6359464,0.0,142615.0,0.0,6182304.0,0.0,34545.0,123454.0,2769.0,36951507.0,717327.0,51512762.0,South America
Austria,5905405,0.0,21872.0,0.0,5829455.0,0.0,54078.0,651328.0,2412.0,211273524.0,23302116.0,9066710.0,Europe
Greece,5849949,0.0,36077.0,0.0,5803381.0,1598.0,10491.0,567040.0,3497.0,102228365.0,9909078.0,10316637.0,Europe
Portugal,5566708,0.0,26117.0,0.0,5537790.0,642.0,2801.0,548954.0,2575.0,45980330.0,4534294.0,10140570.0,Europe
Ukraine,5382095,0.0,111175.0,0.0,5261929.0,0.0,8991.0,124608.0,2574.0,32603805.0,754855.0,43192122.0,Europe
Chile,5164922,0.0,64176.0,0.0,5095408.0,0.0,5338.0,268305.0,3334.0,48430725.0,2515856.0,19250195.0,South America
Malaysia,5042585,0.0,36957.0,0.0,4996409.0,0.0,9219.0,151972.0,1114.0,68079467.0,2051756.0,33181072.0,Asia
